Kennziffer;Raumeinheit;Aggregat;Einwohner 65 Jahre und älter;Durchschnittsalter der Bevölkerung ;Krankenhausbetten;Ärzte je  Einwohner;Einpendler;Auspendler
"03151";"Gifhorn";"Landkreis";"19,8";"43,5";"2,51";"9,7";"68,6";"82,4"
"03153";"Goslar";"Landkreis";"27,2";"47,5";"7,81";"14,7";"52,1";"55,1"
"03154";"Helmstedt";"Landkreis";"23,2";"45,6";"8,54";"11,8";"67,4";"80,8"
"03155";"Northeim";"Landkreis";"25,3";"46,7";"3,56";"14,1";"58,2";"62,6"
"03157";"Peine";"Landkreis";"21,4";"44,2";"2,32";"11,8";"60,4";"76,1"
"03158";"Wolfenbüttel";"Landkreis";"23,4";"45,6";"2,45";"11,4";"65,2";"80,7"
"03159";"Göttingen";"Landkreis";"22,3";"44,3";"10,34";"17,4";"58,9";"55,8"
"03241";"Region Hannover";"Landkreis";"21,1";"43,5";"6,17";"16,3";"60,5";"54,8"
"03251";"Diepholz";"Landkreis";"22,2";"44,8";"2,23";"10,3";"68,9";"75,3"
"03252";"Hameln-Pyrmont";"Landkreis";"25,4";"46,4";"7,45";"14,7";"56,4";"59,1"
"03254";"Hildesheim";"Landkreis";"23,2";"45,1";"6,15";"14,7";"60,3";"65,1"
"03255";"Holzminden";"Landkreis";"26,0";"46,7";"2,89";"12,4";"66,1";"70,4"
"03256";"Nienburg (Weser)";"Landkreis";"22,0";"44,6";"2,95";"10,7";"66,2";"72,4"
"03257";"Schaumburg";"Landkreis";"24,4";"46,0";"3,76";"12,2";"71,5";"78,2"
"03351";"Celle";"Landkreis";"23,2";"44,7";"3,89";"14,0";"58,2";"63,9"
"03352";"Cuxhaven";"Landkreis";"25,0";"46,0";"3,40";"10,9";"50,8";"68,2"
"03353";"Harburg";"Landkreis";"22,2";"44,6";"2,96";"10,9";"71,9";"82,6"
"03354";"Lüchow-Dannenberg";"Landkreis";"27,6";"47,7";"2,42";"13,6";"68,2";"71,8"
"03355";"Lüneburg";"Landkreis";"19,8";"43,0";"4,86";"14,7";"66,0";"71,3"
"03356";"Osterholz";"Landkreis";"23,2";"45,3";"1,91";"11,4";"67,2";"80,8"
"03357";"Rotenburg (Wümme)";"Landkreis";"20,9";"43,9";"6,37";"12,0";"66,4";"71,5"
"03358";"Heidekreis";"Landkreis";"22,3";"44,5";"3,31";"11,9";"58,3";"63,4"
"03359";"Stade";"Landkreis";"21,2";"43,6";"4,61";"12,5";"65,5";"73,6"
"03360";"Uelzen";"Landkreis";"25,0";"46,5";"8,87";"14,3";"61,6";"66,1"
"03361";"Verden";"Landkreis";"22,0";"44,1";"1,93";"12,7";"70,0";"74,0"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"22,0";"43,7";"4,63";"14,1";"53,9";"64,3"
"03402";"Emden, Stadt";"krsfr. Stadt";"21,0";"43,0";"6,93";"16,2";"60,5";"26,1"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"18,9";"42,2";"10,28";"21,0";"51,6";"36,5"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"18,7";"41,6";"12,88";"22,8";"58,4";"39,3"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"26,2";"45,9";"8,19";"19,7";"42,2";"31,2"
"03451";"Ammerland";"Landkreis";"22,8";"44,6";"6,80";"12,5";"65,4";"69,0"
"03452";"Aurich";"Landkreis";"22,5";"44,6";"3,69";"12,8";"58,6";"63,7"
"03453";"Cloppenburg";"Landkreis";"16,2";"40,3";"2,87";"9,9";"62,9";"65,3"
"03454";"Emsland";"Landkreis";"18,7";"42,3";"5,47";"12,0";"61,9";"60,1"
"03455";"Friesland";"Landkreis";"25,8";"46,4";"5,05";"13,7";"61,5";"68,7"
"03456";"Grafschaft Bentheim";"Landkreis";"20,4";"43,2";"4,41";"12,1";"55,3";"58,1"
"03457";"Leer";"Landkreis";"21,1";"43,6";"4,19";"13,1";"61,2";"69,9"
"03458";"Oldenburg";"Landkreis";"21,0";"44,1";"1,77";"10,9";"64,3";"76,7"
"03459";"Osnabrück";"Landkreis";"20,4";"43,5";"4,53";"12,1";"66,2";"71,5"
"03460";"Vechta";"Landkreis";"15,9";"40,3";"6,36";"12,7";"62,8";"58,1"
"03461";"Wesermarsch";"Landkreis";"23,2";"45,3";"2,21";"11,7";"54,8";"60,9"
"03462";"Wittmund";"Landkreis";"24,2";"45,4";"2,88";"10,6";"57,7";"67,4"
"04011";"Bremen, Stadt";"krsfr. Stadt";"21,0";"43,2";"7,30";"18,3";"42,8";"22,3"
